Precipitación_mm,Área_Inundable_%
57.993428306022466,100
56.72347139765763,100
58.29537707620138,100
60.04605971281605,100
56.53169325055333,100
56.53172608610164,100
60.15842563101478,100
58.53486945830582,100
56.0610512281301,100
58.08512008717193,100
56.073164614375074,100
56.06854049285948,100
57.48392454313207,100
53.1734395106844,100
53.550164334973935,100
55.875424941518055,100
54.97433775933115,100
57.628494665190544,100
55.18395184895758,100
54.17539259732942,100
59.93129753784311,100
56.54844739902693,100
57.13505640937585,100
54.15050362757309,100
55.91123455094964,100
57.22184517941973,100
54.6980128451554,100
57.75139603669135,100
55.79872262016239,100
56.41661250041345,100
55.79658677554121,100
60.70455636901787,100
56.973005550524135,100
54.8845781420882,100
58.64508982420638,100
54.558312700057954,100
57.41772719000951,100
53.08065975224045,100
54.34362790220314,100
57.39372247173824,100
58.47693315999082,100
57.34273656237994,100
56.76870343522352,100
56.39779260882142,100
54.04295601926515,100
55.560311583210584,100
56.07872245808043,100
59.11424445243783,100
57.68723657913692,100
53.47391968927453,100
57.64816793878959,100
56.22983543916737,100
55.646155999388085,100
58.22335257768174,100
59.0619990449919,100
58.8625602382324,100
55.32156495355472,100
56.38157524829757,100
57.66252686280713,100
58.95109025424472,100
56.04165152430942,100
56.62868204667237,100
54.787330051987944,100
54.60758675183866,100
58.6250516447884,100
59.71248005714165,100
56.85597975683933,100
59.00706579578405,100
57.72327205009527,100
55.709760490789755,100
57.722791211016826,100
60.07607313293194,100
56.928347921780095,100
60.12928731162801,100
51.76050979182051,100
58.64380500875045,100
57.17409413647634,100
56.401985299068265,100
57.183521553071,100
53.024862170798215,100
56.56065622432497,100
57.71422514302349,100
59.95578808948303,100
55.9634595634527,100
55.38301279421363,100
55.99648591283093,100
58.830804235404145,100
57.65750221931937,100
55.94047959246592,100
58.02653486622671,100
57.19415509869608,100
58.93728998106578,100
55.59589381224529,100
56.344675706804466,100
56.21578369373569,100
54.07297010373576,100
57.592240554129155,100
57.522110544359776,100
57.010226913284924,100
56.530825733249706,100
54.16925851589917,100
56.15870935446928,100
56.31457096694646,100
55.39544546155676,100
56.67742857666798,100
57.80810171362908,100
60.77237180242106,100
57.34915562566368,100
57.515100781445526,100
56.85110816846767,100
53.162457569401916,100
56.94697224910156,100
57.12046041988205,100
61.92648422497057,100
56.61527807043775,100
57.60309468466723,100
56.93057646058951,100
54.662643924760935,100
59.28564562903004,100
58.50386606537355,100
58.58206389408609,100
55.18122509041052,100
59.8055886218722,100
54.196297874415436,100
58.17371418760054,100
61.380911251619956,100
55.018927349738625,100
55.86740454079445,100
57.19930273017528,100
55.993048691767605,100
53.89867313786773,100
57.137125949612056,100
54.87539257254779,100
